-7.008632344058395E-10,2.370151917236092E-10,8.889214612154512E-11,-1.5242753231390331E-10,-2.7075519494582846E-11,-8.46183022895605E-11,-1.0921074077818212E-10,-5.736302424436599E-11,1.138479796110485E-11,1.6735404984961594E-11,16632
-6.318343320096311E-11,3.448007003690644E-11,5.615986048508119E-12,-3.650814787135258E-11,-8.348219474066555E-12,-1.3676829704348553E-11,-2.4159420682927188E-11,-8.674747526652934E-12,3.9592654377381324E-12,2.9385808603118256E-12,16633
-6.460460588270751E-10,1.0462787578633704E-10,1.1311078491268066E-10,-1.581229437031908E-10,-2.7853524129169582E-12,-7.24998038503347E-11,-1.398348560626615E-10,-6.845021500444933E-11,6.550195168282799E-12,1.7538175397420474E-11,16634
-3.9212646535706723E-11,5.478857099033073E-11,-9.114672824748899E-12,6.373750551709002E-12,9.751879809395167E-13,9.749981968640802E-12,-3.7400949072576355E-12,5.874961760284774E-13,1.941067569112017E-12,3.0272774451525586E-12,16635
-2.555880518745155E-11,2.058241118672638E-11,-7.312272142590342E-13,-3.168965623619468E-12,-2.0732627991448847E-12,-1.795702617556085E-12,-2.025490232908947E-12,-7.277050808053292E-13,6.301094199521332E-13,5.857698915608439E-13,16636
2.099756016064844E-10,-2.701332702348263E-11,-4.428212042714698E-11,5.1606310218066206E-11,1.6501469504243934E-12,2.6560078862849897E-11,4.377682380451634E-11,2.3030624152267532E-11,-2.97157323199039E-12,-5.815588128703641E-12,16637
-1.689593276892415E-10,5.887711991227222E-11,1.716919024780554E-11,-4.0736167480134476E-11,-6.1808867692916756E-12,-1.912812236991564E-11,-3.234732621473176E-11,-1.5965222968698697E-11,4.065336050400675E-12,5.15310202973566E-12,16638
7.831932244784629E-11,-2.0366280321346305E-11,-1.4580625342927325E-11,2.3690890584496763E-11,3.1778818186367064E-12,9.870839843654962E-12,1.8565179013691347E-11,8.344293379169625E-12,-2.0811102078536683E-12,-2.74252259313065E-12,16639
-6.277124910344529E-10,1.836946671263596E-10,8.90044842615954E-11,-1.5284231200732386E-10,-2.3988571954937878E-11,-8.025323269813276E-11,-1.085942048779783E-10,-5.6061769397469776E-11,1.0393700868173098E-11,1.531702389464373E-11,16640
2.3024562948997272E-10,-8.103764984243826E-11,-3.1658566725950905E-11,5.6685086296334256E-11,1.0879942854747542E-11,3.055709681408849E-11,3.7661109728598975E-11,1.968333013116988E-11,-3.3666441734251736E-12,-5.756954039091264E-12,16641
-5.3187251286973766E-11,-6.473288414234727E-11,3.226071818935184E-11,-3.143951203192134E-11,8.660007195005642E-12,-8.378669790538012E-12,-2.997277816027921E-11,-1.6105171058149757E-11,4.40354936737639E-13,4.019787745640136E-12,16642
-2.7209492088182255E-11,1.2441625735570485E-10,-3.4973311816368834E-11,1.960520119365398E-11,-1.73726096460015E-11,-8.560671832206691E-13,2.956630693951839E-11,1.271863494342501E-11,2.8780805563385163E-12,-1.1791804926683603E-12,16643
6.74099948650547E-10,-1.250819140804414E-10,-1.1782325922082001E-10,1.704048708842529E-10,7.788530378241749E-12,8.397801555913501E-11,1.421984573152922E-10,7.097639490828032E-11,-9.47433482489284E-12,-1.8638626611160995E-11,16644
-5.033703032308734E-10,1.0711659696384503E-10,8.995838260353504E-11,-1.378783576883205E-10,-1.0745323753154678E-11,-6.749562869406663E-11,-1.094844488483554E-10,-5.380993866127966E-11,8.436381199015161E-12,1.4017555239089523E-11,16645
-6.046453815298599E-10,9.891578219455548E-11,1.0998580868891604E-10,-1.6818946007214989E-10,-5.4042871608647105E-12,-7.509125449107221E-11,-1.461679246893217E-10,-6.844765906661296E-11,1.0061534342198489E-11,1.8064611488885862E-11,16646
-5.620660596400645E-11,1.4159110191011354E-11,8.359674867204693E-12,-1.704224791380383E-11,-1.2325878189121725E-12,-7.305428091007518E-12,-1.4895751551858048E-11,-5.4411238113505905E-12,4.3810931732337663E-13,1.1307526547451928E-12,16647
-8.951922162666697E-11,-5.218637208222925E-11,4.043906519699491E-11,-5.032611468243247E-11,9.468618787512557E-12,-1.7495297931380047E-11,-5.2874261925684115E-11,-2.2919807291876478E-11,1.2629971843980446E-12,4.5695054742907926E-12,16648
-4.076385781791525E-10,7.498155266797114E-11,6.953775874309999E-11,-1.1012210405228366E-10,-1.1805053089064698E-11,-6.021720174743431E-11,-8.26279760370389E-11,-4.2066327594292767E-11,7.174120060120146E-12,9.339208460565814E-12,16649
